法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣基隆地方法院,086法登他24,33,變更登記,財團法人台灣省基隆市私立培德高級工業家事職業學校,086/12/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPl%2FAAI&bc=086&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000024&ef=KLD&fg=1,output/details/KLD/AAI/AAAdkxAAHAAAPl%2FAAI.json,AAAdkxAAHAAAPl%2FAAI,KLD
臺灣基隆地方法院,086法登社1,96,設立登記,社團法人基隆市牙醫師公會,086/03/11,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPl%2FAAJ&bc=086&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000001&ef=KLD&fg=1,output/details/KLD/AAJ/AAAdkxAAHAAAPl%2FAAJ.json,AAAdkxAAHAAAPl%2FAAJ,KLD
臺灣基隆地方法院,086法登社2,98,設立登記,社團法人基隆市拋磚愛心社,086/08/15,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPl%2FAAK&bc=086&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000002&ef=KLD&fg=1,output/details/KLD/AAK/AAAdkxAAHAAAPl%2FAAK.json,AAAdkxAAHAAAPl%2FAAK,KLD
臺灣基隆地方法院,086法登社3,97,設立登記,社團法人中華盲人命卜研究協會,086/08/12,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPl%2FAAL&bc=086&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000003&ef=KLD&fg=1,output/details/KLD/AAL/AAAdkxAAHAAAPl%2FAAL.json,AAAdkxAAHAAAPl%2FAAL,KLD
臺灣基隆地方法院,086法登財1,95,設立登記,財團法人海洋城市文教基金會,086/01/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPl%2FAAN&bc=086&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=KLD&fg=1,output/details/KLD/AAN/AAAdkxAAHAAAPl%2FAAN.json,AAAdkxAAHAAAPl%2FAAN,KLD
臺灣基隆地方法院,087法登他1,21,變更登記,財團法人私立德育醫護管理專科學校,087/02/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPmDAAA&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=KLD&fg=1,output/details/KLD/AAA/AAAdkxAAHAAAPmDAAA.json,AAAdkxAAHAAAPmDAAA,KLD
臺灣基隆地方法院,087法登他2,78,變更登記,社團法人基隆市閩南同鄉會,087/03/11,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPmDAAB&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=KLD&fg=1,output/details/KLD/AAB/AAAdkxAAHAAAPmDAAB.json,AAAdkxAAHAAAPmDAAB,KLD
臺灣基隆地方法院,087法登他3,56,變更登記,財團法人基隆市私立杜萬全社會福利慈善事業基金會,087/03/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPmDAAC&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000003&ef=KLD&fg=1,output/details/KLD/AAC/AAAdkxAAHAAAPmDAAC.json,AAAdkxAAHAAAPmDAAC,KLD
臺灣基隆地方法院,087法登他4,95,變更登記,財團法人海洋城市文教基金會,087/04/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPmDAAD&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000004&ef=KLD&fg=1,output/details/KLD/AAD/AAAdkxAAHAAAPmDAAD.json,AAAdkxAAHAAAPmDAAD,KLD
臺灣基隆地方法院,087法登他5,82,變更登記,社團法人基隆市惠安同鄉會,087/03/13,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAJ&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000005&ef=KLD&fg=1,output/details/KLD/AAJ/AAAdkxAAHAAAPlFAAJ.json,AAAdkxAAHAAAPlFAAJ,KLD
臺灣基隆地方法院,087法登他6,12,變更登記,財團法人台灣省基隆市私立二信高級中學,087/04/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAK&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000006&ef=KLD&fg=1,output/details/KLD/AAK/AAAdkxAAHAAAPlFAAK.json,AAAdkxAAHAAAPlFAAK,KLD
臺灣基隆地方法院,087法登他7,91,變更登記,財團法人智光文教基金會,087/04/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAL&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000007&ef=KLD&fg=1,output/details/KLD/AAL/AAAdkxAAHAAAPlFAAL.json,AAAdkxAAHAAAPlFAAL,KLD
臺灣基隆地方法院,087法登他8,85,變更登記,社團法人基隆市脊髓損傷者協會,087/06/11,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAM&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000008&ef=KLD&fg=1,output/details/KLD/AAM/AAAdkxAAHAAAPlFAAM.json,AAAdkxAAHAAAPlFAAM,KLD
臺灣基隆地方法院,087法登他9,15,變更登記,財團法人台灣省基隆市私立聖心國民小學,087/06/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAA&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000009&ef=KLD&fg=1,output/details/KLD/AAA/AAAdkxAAHAAAPkOAAA.json,AAAdkxAAHAAAPkOAAA,KLD
臺灣基隆地方法院,087法登他10,27,變更登記,財團法人台灣省基隆市私立聖心高級中學,087/06/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAB&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000010&ef=KLD&fg=1,output/details/KLD/AAB/AAAdkxAAHAAAPkOAAB.json,AAAdkxAAHAAAPkOAAB,KLD
臺灣基隆地方法院,087法登他11,74,變更登記,財團法人基隆陳胡姚氏宗祠,082/08/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAC&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000011&ef=KLD&fg=1,output/details/KLD/AAC/AAAdkxAAHAAAPkOAAC.json,AAAdkxAAHAAAPkOAAC,KLD
臺灣基隆地方法院,087法登他12,59,變更登記,財團法人基隆市文化基金會,085/07/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAD&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000012&ef=KLD&fg=1,output/details/KLD/AAD/AAAdkxAAHAAAPkOAAD.json,AAAdkxAAHAAAPkOAAD,KLD
臺灣基隆地方法院,087法登他13,33,變更登記,財團法人台灣省基隆市私立培德高級工業家事職業學校,087/10/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAE&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000013&ef=KLD&fg=1,output/details/KLD/AAE/AAAdkxAAHAAAPkOAAE.json,AAAdkxAAHAAAPkOAAE,KLD
臺灣基隆地方法院,087法登他14,79,變更登記,財團法人基隆市李氏宗祠,083/01/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAF&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000014&ef=KLD&fg=1,output/details/KLD/AAF/AAAdkxAAHAAAPkOAAF.json,AAAdkxAAHAAAPkOAAF,KLD
臺灣基隆地方法院,087法登他15,15,變更登記,財團法人台灣省基隆市私立聖心國民小學,087/06/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAG&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000015&ef=KLD&fg=1,output/details/KLD/AAG/AAAdkxAAHAAAPkOAAG.json,AAAdkxAAHAAAPkOAAG,KLD
臺灣基隆地方法院,087法登他16,26,變更登記,財團法人台灣省基隆市靈泉禪寺,077/06/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAH&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000016&ef=KLD&fg=1,output/details/KLD/AAH/AAAdkxAAHAAAPkOAAH.json,AAAdkxAAHAAAPkOAAH,KLD
臺灣基隆地方法院,087法登他17,110,變更登記,財團法人瑞三股份有限公司職工福利委員會,087/10/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkOAAI&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000017&ef=KLD&fg=1,output/details/KLD/AAI/AAAdkxAAHAAAPkOAAI.json,AAAdkxAAHAAAPkOAAI,KLD
臺灣基隆地方法院,087法登他18,111,變更登記,財團法人瑞三迱業公司社會福利基金會,087/10/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlBAAK&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000018&ef=KLD&fg=1,output/details/KLD/AAK/AAAdkxAAHAAAPlBAAK.json,AAAdkxAAHAAAPlBAAK,KLD
臺灣基隆地方法院,087法登他19,114,變更登記,財團法人基督門徒訓練中心,087/12/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAA&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000019&ef=KLD&fg=1,output/details/KLD/AAA/AAAdkxAAHAAAPlFAAA.json,AAAdkxAAHAAAPlFAAA,KLD
臺灣基隆地方法院,087法登他20,56,變更登記,財團法人基隆市私立杜萬全社會福利慈善事業基金會,087/03/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAB&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000020&ef=KLD&fg=1,output/details/KLD/AAB/AAAdkxAAHAAAPlFAAB.json,AAAdkxAAHAAAPlFAAB,KLD
臺灣基隆地方法院,087法登他21,21,變更登記,財團法人私立德育醫護管理專科學校,087/02/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAC&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000021&ef=KLD&fg=1,output/details/KLD/AAC/AAAdkxAAHAAAPlFAAC.json,AAAdkxAAHAAAPlFAAC,KLD
臺灣基隆地方法院,087法登他22,2,變更登記,財團法人基隆市私立博愛仁愛之家,086/05/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAD&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000022&ef=KLD&fg=1,output/details/KLD/AAD/AAAdkxAAHAAAPlFAAD.json,AAAdkxAAHAAAPlFAAD,KLD
臺灣基隆地方法院,087法登社2,115,設立登記,社團法人基隆市野外育樂協會,087/12/15,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlFAAF&bc=087&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000002&ef=KLD&fg=1,output/details/KLD/AAF/AAAdkxAAHAAAPlFAAF.json,AAAdkxAAHAAAPlFAAF,KLD
