法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置
臺灣彰化地方法院,101法登他43,168,變更登記,財團法人關懷文教基金會,101/05/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGB9AAB&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000043&ef=CHD&fg=1,output/details/CHD/AAB/AAAdkxAAHAAAGB9AAB
臺灣彰化地方法院,101法登他44,153,變更登記,財團法人彰化縣公益頻道基金會,101/05/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGCGAAH&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000044&ef=CHD&fg=1,output/details/CHD/AAH/AAAdkxAAHAAAGCGAAH
臺灣彰化地方法院,101法登他45,42,變更登記,財團法人彰化縣員林寺,101/06/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGErAAH&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000045&ef=CHD&fg=1,output/details/CHD/AAH/AAAdkxAAHAAAGErAAH
臺灣彰化地方法院,101法登他46,124,變更登記,財團法人彰化高商文教基金會,101/05/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGCGAAI&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000046&ef=CHD&fg=1,output/details/CHD/AAI/AAAdkxAAHAAAGCGAAI
臺灣彰化地方法院,101法登他47,245,變更登記,財團法人鹿江文化藝術基金會,101/06/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGBVAAG&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000047&ef=CHD&fg=1,output/details/CHD/AAG/AAAdkxAAHAAAGBVAAG
臺灣彰化地方法院,101法登他48,376,變更登記,社團法人彰化縣視障者關懷協會,101/07/03,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGFFAAI&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000048&ef=CHD&fg=1,output/details/CHD/AAI/AAAdkxAAHAAAGFFAAI
臺灣彰化地方法院,101法登他49,401,變更登記,社團法人彰化縣珍愛國際婚姻關懷協會,101/07/03,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEQAAC&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000049&ef=CHD&fg=1,output/details/CHD/AAC/AAAdkxAAHAAAGEQAAC
臺灣彰化地方法院,101法登他50,232,變更登記,社團法人彰化縣鹿港國際青年商會,101/07/03,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEQAAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000050&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGEQAAD
臺灣彰化地方法院,101法登他51,24,變更登記,財團法人彰化縣後備軍人（子女）?冗髐撅訄簹鷛|,101/07/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEQAAF&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000051&ef=CHD&fg=1,output/details/CHD/AAF/AAAdkxAAHAAAGEQAAF
臺灣彰化地方法院,101法登他52,367,變更登記,財團法人彰化縣私立基督教新寶教會社會福利慈善事業基金會,101/07/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEOAAA&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000052&ef=CHD&fg=1,output/details/CHD/AAA/AAAdkxAAHAAAGEOAAA
臺灣彰化地方法院,101法登他53,314,變更登記,財團法人彰化縣私立青山社會福利慈善事業基金會,101/07/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEQAAE&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000053&ef=CHD&fg=1,output/details/CHD/AAE/AAAdkxAAHAAAGEQAAE
臺灣彰化地方法院,101法登他54,375,變更登記,財團法人彰化縣私立童庭社會福利慈善事業基金會,101/06/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEaAAB&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000054&ef=CHD&fg=1,output/details/CHD/AAB/AAAdkxAAHAAAGEaAAB
臺灣彰化地方法院,101法登他55,56,變更登記,財團法人錫卿文教基金會,101/09/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGKyAAF&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000055&ef=CHD&fg=1,output/details/CHD/AAF/AAAdkxAAHAAAGKyAAF
臺灣彰化地方法院,101法登他56,59,變更登記,財團法人中華杏林基金會,101/06/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEaAAC&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000056&ef=CHD&fg=1,output/details/CHD/AAC/AAAdkxAAHAAAGEaAAC
臺灣彰化地方法院,101法登他57,323,變更登記,財團法人雄和教育基金會,101/07/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEQAAG&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000057&ef=CHD&fg=1,output/details/CHD/AAG/AAAdkxAAHAAAGEQAAG
臺灣彰化地方法院,101法登他58,46,變更登記,財團法人私立小天才幼稚園,101/07/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEQAAH&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000058&ef=CHD&fg=1,output/details/CHD/AAH/AAAdkxAAHAAAGEQAAH
臺灣彰化地方法院,101法登他59,212,變更登記,財團法人吳善奇教育文化藝術基金會,101/07/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGFfAAG&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000059&ef=CHD&fg=1,output/details/CHD/AAG/AAAdkxAAHAAAGFfAAG
臺灣彰化地方法院,101法登他60,114,變更登記,財團法人賴和文教基金會,101/07/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGF0AAG&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000060&ef=CHD&fg=1,output/details/CHD/AAG/AAAdkxAAHAAAGF0AAG
臺灣彰化地方法院,101法登他61,303,變更登記,財團法人台灣護聖宮教育基金會,101/06/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEaAAA&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000061&ef=CHD&fg=1,output/details/CHD/AAA/AAAdkxAAHAAAGEaAAA
臺灣彰化地方法院,101法登他62,20,變更登記,財團法人彰化縣私立博愛服務中心,101/07/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGFrAAA&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000062&ef=CHD&fg=1,output/details/CHD/AAA/AAAdkxAAHAAAGFrAAA
臺灣彰化地方法院,101法登他63,180,變更登記,財團法人晴光文教基金會,101/07/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGF0AAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000063&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGF0AAD
臺灣彰化地方法院,101法登他64,179,變更登記,社團法人彰化縣松柏扶輪社,101/07/19,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGF0AAF&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000064&ef=CHD&fg=1,output/details/CHD/AAF/AAAdkxAAHAAAGF0AAF
臺灣彰化地方法院,101法登他65,33,變更登記,財團法人彰化縣私立秀和慈善事業基金會,101/07/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGFbAAB&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000065&ef=CHD&fg=1,output/details/CHD/AAB/AAAdkxAAHAAAGFbAAB
臺灣彰化地方法院,101法登他66,40,變更登記,財團法人彰化縣私立崇德社會福利慈善事業基金會,101/07/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGF0AAE&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000066&ef=CHD&fg=1,output/details/CHD/AAE/AAAdkxAAHAAAGF0AAE
臺灣彰化地方法院,101法登他67,273,變更登記,財團法人切膚之愛社會福利慈善事業基金會,101/07/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGGIAAC&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000067&ef=CHD&fg=1,output/details/CHD/AAC/AAAdkxAAHAAAGGIAAC
臺灣彰化地方法院,101法登他68,194,變更登記,財團法人鄉土藝術文教基金會,101/07/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGFeAAJ&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000068&ef=CHD&fg=1,output/details/CHD/AAJ/AAAdkxAAHAAAGFeAAJ
臺灣彰化地方法院,101法登他69,385,變更登記,財團法人車輛安全審驗中心,101/07/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGFyAAE&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000069&ef=CHD&fg=1,output/details/CHD/AAE/AAAdkxAAHAAAGFyAAE
臺灣彰化地方法院,101法登他70,406,變更登記,社團法人彰化縣社頭織襪產業發展協會,101/08/28,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGKvAAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000070&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGKvAAD
臺灣彰化地方法院,101法登他71,121,變更登記,財團法人彰化縣私立珍瑩老人養護中心,101/08/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGKuAAE&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000071&ef=CHD&fg=1,output/details/CHD/AAE/AAAdkxAAHAAAGKuAAE
臺灣彰化地方法院,101法登他72,200,變更登記,財團法人熱愛生命文教基金會,101/09/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGKyAAD&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000072&ef=CHD&fg=1,output/details/CHD/AAD/AAAdkxAAHAAAGKyAAD
臺灣彰化地方法院,101法登他73,53,變更登記,財團法人溪湖佛教蓮社文教基金會,101/09/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGLbAAC&bc=101&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000073&ef=CHD&fg=1,output/details/CHD/AAC/AAAdkxAAHAAAGLbAAC
