法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置
臺灣嘉義地方法院,090法登財6,280,設立登記,財團法人聯瑞醫學教育基金會,090/06/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYSAAC&bc=090&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000006&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMYSAAC.json
臺灣嘉義地方法院,090法登財8,281,設立登記,財團法人台灣基督長老教會嘉義中會,090/06/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYSAAD&bc=090&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000008&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAMYSAAD.json
臺灣嘉義地方法院,090法登財9,282,設立登記,財團法人嘉義縣私立子良社會福利慈善事業基金會,090/09/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYSAAE&bc=090&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000009&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAMYSAAE.json
臺灣嘉義地方法院,090法登財10,284,設立登記,財團法人鄒族文化藝術基金會,090/10/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYWAAA&bc=090&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000010&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAMYWAAA.json
臺灣嘉義地方法院,090法登財11,285,設立登記,財團法人嘉義市私立豐年社會福利慈善事業基金會,090/10/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYYAAB&bc=090&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000011&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAMYYAAB.json
臺灣嘉義地方法院,090法登財12,286,設立登記,財團法人嘉義縣立竹崎國民中學教育事務基金會,090/10/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYfAAC&bc=090&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000012&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMYfAAC.json
臺灣嘉義地方法院,090法登財13,287,設立登記,財團法人嘉義市私立瑞泰老人長期照護中心,090/11/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYfAAD&bc=090&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000013&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAMYfAAD.json
臺灣嘉義地方法院,090法登財14,288,設立登記,財團法人嘉義縣私立游寅丑游吳變社會福利慈善事業基金會,090/11/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYfAAE&bc=090&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000014&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAMYfAAE.json
臺灣嘉義地方法院,091法登他2,62,變更登記,財團法人台灣省嘉義市私立崇仁高級護理助產職業學校,091/01/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYaAAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAMYaAAA.json
臺灣嘉義地方法院,091法登他3,224,變更登記,財團法人戴德森教育事務基金會,091/01/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYaAAB&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000003&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAMYaAAB.json
臺灣嘉義地方法院,091法登他4,34,變更登記,財團法人台灣省嘉義市私立嘉華高級中學,091/01/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYjAAC&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000004&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMYjAAC.json
臺灣嘉義地方法院,091法登他5,47,變更登記,財團法人台灣省嘉義縣私立協同高級中學,091/01/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYjAAD&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000005&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAMYjAAD.json
臺灣嘉義地方法院,091法登他6,64,變更登記,財團法人私立大同商業專科學校,091/01/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYjAAE&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000006&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAMYjAAE.json
臺灣嘉義地方法院,091法登他7,212,變更登記,財團法人嘉義縣教育會教育基金會,091/02/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYkAAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000007&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAMYkAAA.json
臺灣嘉義地方法院,091法登他8,52,變更登記,財團法人臺灣省嘉義市先天玉虛宮,091/02/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYeAAB&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000008&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAMYeAAB.json
臺灣嘉義地方法院,091法登他9,144,變更登記,財團法人妙法藏菩提教育事務基金會,091/02/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3hAAC&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000009&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAL3hAAC.json
臺灣嘉義地方法院,091法登他10,102,變更登記,財團法人嘉義後備軍人（子女）獎學金文教基金會,091/02/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3hAAD&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000010&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAL3hAAD.json
臺灣嘉義地方法院,091法登他11,33,變更登記,財團法人台灣省嘉義市私立輔仁高級中學,091/02/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3hAAE&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000011&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAL3hAAE.json
