法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,
臺灣臺南地方法院,047法登19,19,設立登記,財團法人真耶穌教會台灣總會,047/06/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMajAAE&bc=047&cd=%AA%6B%B5%6E++++++++++++++++&de=000019&ef=TND&fg=1,
臺灣臺南地方法院,047法登20,20,設立登記,財團法人台南市私立秀峰公記慈善會,047/11/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMcAAAI&bc=047&cd=%AA%6B%B5%6E++++++++++++++++&de=000020&ef=TND&fg=1,
臺灣臺南地方法院,048法登3,3,變更登記,財團法人台南市兩廣同鄉會,048/01/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMcAAAJ&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=TND&fg=1,
臺灣臺南地方法院,048法登21,21,設立登記,財團法人台灣省私立瀛海中學董事會,048/09/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMcAAAK&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000021&ef=TND&fg=1,
臺灣臺南地方法院,049法登22,22,設立登記,財團法人台灣省台南市天帝聖堂,049/06/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMcAAAL&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000022&ef=TND&fg=1,
臺灣臺南地方法院,049法登23,23,設立登記,財團法人台灣糖業公司玉井糖廠職工福利委員會,049/06/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMb8AAA&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000023&ef=TND&fg=1,
臺灣臺南地方法院,049法登24,24,設立登記,財團法人私立天仁高級商工職業學校董事會,049/06/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMamAAB&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000024&ef=TND&fg=1,
臺灣臺南地方法院,050法登18,18,變更登記,財團法人天主教味增爵會,050/01/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGkkAAJ&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000018&ef=TND&fg=1,
臺灣臺南地方法院,050法登25,25,設立登記,財團法人台灣省台南市私立南英商業職業學校董事會,050/06/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMamAAC&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000025&ef=TND&fg=1,
臺灣臺南地方法院,050法登26,26,設立登記,財團法人台南縣私立南光實驗中學董事會,050/06/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaoAAE&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000026&ef=TND&fg=1,
臺灣臺南地方法院,051法登29,29,設立登記,財團法人台灣省台南市海安基督教會,051/08/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaNAAA&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000029&ef=TND&fg=1,
臺灣臺南地方法院,051法登30,30,設立登記,財團法人台灣省台南市良皇宮,051/10/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaNAAB&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000030&ef=TND&fg=1,
